     itr, time , potential ,strain(%)
         0 ,    0.00000E+00 ,    0.00000E+00 ,    0.00000E+00 , 
         0 ,    0.10000E+00 ,    0.75285E-01 ,    0.19296E-02 , 
         0 ,    0.20000E+00 ,    0.14938E+00 ,    0.37578E-02 , 
         0 ,    0.30000E+00 ,    0.22111E+00 ,    0.57013E-02 , 
         0 ,    0.40000E+00 ,    0.28935E+00 ,    0.76876E-02 , 
         0 ,    0.50000E+00 ,    0.35302E+00 ,    0.96894E-02 , 
         0 ,    0.60000E+00 ,    0.41110E+00 ,    0.11678E-01 , 
         0 ,    0.70000E+00 ,    0.46269E+00 ,    0.13611E-01 , 
         0 ,    0.80000E+00 ,    0.50696E+00 ,    0.15435E-01 , 
         0 ,    0.90000E+00 ,    0.54322E+00 ,    0.17092E-01 , 
         0 ,    0.10000E+01 ,    0.57090E+00 ,    0.18527E-01 , 
         0 ,    0.11000E+01 ,    0.58955E+00 ,    0.19692E-01 , 
         0 ,    0.12000E+01 ,    0.59888E+00 ,    0.20548E-01 , 
         0 ,    0.13000E+01 ,    0.59875E+00 ,    0.21069E-01 , 
         0 ,    0.14000E+01 ,    0.58915E+00 ,    0.21242E-01 , 
         0 ,    0.15000E+01 ,    0.57024E+00 ,    0.21066E-01 , 
         0 ,    0.16000E+01 ,    0.54231E+00 ,    0.20556E-01 , 
         0 ,    0.17000E+01 ,    0.50582E+00 ,    0.19732E-01 , 
         0 ,    0.18000E+01 ,    0.46133E+00 ,    0.18625E-01 , 
         0 ,    0.19000E+01 ,    0.40954E+00 ,    0.17272E-01 , 
         0 ,    0.20000E+01 ,    0.35129E+00 ,    0.15712E-01 , 
         0 ,    0.21000E+01 ,    0.28748E+00 ,    0.13987E-01 , 
         0 ,    0.22000E+01 ,    0.21913E+00 ,    0.12140E-01 , 
         0 ,    0.23000E+01 ,    0.14731E+00 ,    0.10211E-01 , 
         0 ,    0.24000E+01 ,    0.73167E-01 ,    0.82391E-02 , 
         0 ,    0.25000E+01 ,   -0.21344E-02 ,    0.62148E-02 , 
         0 ,    0.26000E+01 ,   -0.77402E-01 ,    0.40408E-02 , 
         0 ,    0.27000E+01 ,   -0.15145E+00 ,    0.17620E-02 , 
         0 ,    0.28000E+01 ,   -0.22310E+00 ,   -0.59756E-03 , 
